customer_number,fruit_veg,dairy,confectionary,grocery_food,grocery_health_pets,bakery,newspapers_magazines,prepared_meals,soft_drinks,frozen,meat,tobacco,drinks,deli,world_foods,lottery,cashpoint,seasonal_gifting,discount_bakery,practical_items
11387,64.58,35.91,107.78,27.08,29.59,0,54.83,6.35,22.83,21.51,28.62,162.1,28.02,28.12,28.54,2,15,7.48,0,0.84
8171,16.89,37.24,28.84,33.43,66.4,0,22.06,12.09,2.34,78.74,26.44,0,8.42,2.65,3.76,0,0,9.99,0,0
1060,87.3,82.98,49.88,20.57,37.04,0,9.85,57.98,31.12,14.53,54.65,0,0,2.6,0,18,20,106.46,0,0
3728,84.05,186.56,175.5,119.84,111.08,0,13.05,25.54,124.42,15.24,0.95,127.7,0,0,0,4,0,0,0,4.5
14621,35.16,121.31,79.23,29.03,37.17,0,40.06,0,4.68,3.33,36.24,0,2.55,99.16,0,0,0,3.4,0,0
12563,25.76,19.11,20.84,37.29,8.99,0,0,17.65,14.48,8.08,17.32,0,36.74,5.5,3.73,0,0,0,11.28,0
1652,97.6,31.16,21.5,47.13,26.29,0,4.12,24.92,1.26,14.53,31.96,0,0,0,9.83,0,0,0,0,0
2989,52.82,51.56,51.92,63.79,61.78,0,15.35,24.52,22.16,36.97,47.08,0,0,10.46,19.1,0,20,1.7,0,5.08
14219,126.27,132.41,35.54,84.98,23.47,0,0,9.99,9.63,49.8,14.6,0,0,0.89,4.56,0,0,0,0,0
1831,2.77,16.4,47.54,16.86,5.42,0,9.42,5.43,1.57,6.14,4.52,0,2.97,0.55,0,9,44,0,0,0
1433,44.35,47.36,56.74,43.63,29.66,0,10.2,15.91,8.39,12.34,14.38,0,0,45.96,0,0,0,0,0,0
14801,181.41,82.99,36.72,24.35,15.46,0,9.47,18.32,0,27.51,35.42,0,0,0,18.32,124,179,0,0,0
16316,42.58,28.96,35.96,16.56,33.55,0,1.78,6.46,24.48,12.79,0,0,73.37,24.65,4.01,0,0,0,0,5.32
3386,398.89,216.74,108.8,84.26,176.22,0,16.95,36.14,10.25,23.92,115.56,0,0,0,14.22,0,0,7.87,0,2.96
1461,19.16,35.99,78.77,15.24,57.33,0,55.74,18.64,60.56,11.27,18.98,0,159.27,0,9.6,6,30,2.11,0,0
1671,128.51,109.94,76.7,33.64,26.4,0,6.41,53.45,6.53,91.04,71.88,0,11.31,25.08,1.95,0,25,1.83,54.5,0
11607,168.37,62.11,143.92,161.05,64.34,0,10.73,8.65,32.11,174.86,13.56,0,18.23,0,1.19,0,0,20.51,0,0.84
13908,210.42,168.84,57.47,89.24,40.89,0,0,51.17,17.72,27.25,153.77,0,79.46,3.13,1.19,0,0,0,0,0
15458,2.05,2.49,10.46,1.94,2.55,0,0.4,0.59,0,1.88,0,0,0,0.83,3.97,0,0,1.99,0,0
15932,24.72,23.43,80.13,2.04,128.2,0,16.01,1.61,18.66,3.53,0,87.34,0,0,0.79,0,10,35.19,0,0
10931,62.84,77.2,62.59,110.94,51.46,0,13.62,35.94,9.74,57.15,25.43,4.17,10.29,4.59,2.33,0,0,2.62,0,0.84
3497,21.24,40.71,51.99,59.98,52.66,0,9.72,19.24,15.18,21.34,44.49,0,2.55,0,3.68,1,291,0,0,0
12855,129.31,127.46,88.7,75.04,46.54,0,0,0,95.72,38.58,89.14,0,25.28,66.57,14.71,0,0,2.55,0,0
12618,32.98,31.54,25.76,33.61,17.9,0,0,90.16,0,0,26.58,504.12,0,0,18.49,0,0,35.72,0,0
12156,33.41,5.77,13.57,57.57,10.66,0,0,18.81,14.14,0,0,536.9,0,0,0,0,0,0,0,0
3663,122.8,238.48,79.68,142.21,237.77,0,53.28,88.82,24.9,62.06,58.93,301.4,0,1.9,11.78,0,0,0.84,0,11.05
2937,39.39,52.1,49.11,23.35,23.06,0,1.8,10.42,5.36,9.2,7.66,0,53.2,0,2.29,4,0,1.15,0,0
5596,37.14,93.14,91.07,46.21,54.38,0,22.5,87.71,89.9,102.38,53.16,117.36,435.64,0,3.21,5,40,9.07,0,0
3647,101.58,72.19,80.8,56.62,59.33,0,31.15,20.46,2,41.83,36.78,565.85,0,34.38,37.63,0,0,0,0,0
10901,42.1,28.54,13.08,13.06,15.24,0,17.32,16.15,4.07,6.33,3.18,4.18,2.85,0,16.41,0,0,3.78,10.43,0
11174,122.22,141.77,59.31,143.72,138.18,0,11.61,99.32,14.27,117.09,182.65,3.54,105.59,0.39,8.03,0,108,9.99,0,1.1
8972,156.98,125.21,19.47,175.49,109.18,0,50.84,15.5,31.75,50.96,228.1,677.81,298.75,27.83,15.62,72.8,0,16.02,0,11.89
10981,115.14,117.8,81.49,114.61,68.63,0,11.33,21.62,89.33,78.48,65.1,8.16,32.72,11.59,27.99,2,10,6.65,0,12.98
8563,74.34,33.65,39.33,36.47,47.35,0,1.95,25.65,9.78,46.97,163.19,167.5,424.02,6.2,1.27,0,0,0,0,1.95
1464,39.65,81.62,59.03,48.84,35.31,0,1.48,60.86,31.12,42.12,21.95,0,26.39,7.39,8.07,1,10,16.21,0,0
12611,101.47,90.34,9.25,90.38,43.43,0,0,8,50.62,17.51,36.95,0,0,0,0,0,0,0,0,0
5470,97.2,139.36,77.27,43.51,16.36,0,34.66,43.56,27.59,37.19,66.6,40.17,14.87,0,5.07,247.5,285,4.22,0,0
3331,134.22,78.29,139.75,200.43,217.37,0,9.45,18.23,5.76,167.58,208.86,0,0,0,1.98,0,0,6.41,0,0
6462,82.3,75.47,82.49,53.78,60.46,0,12.96,40.34,29.56,52.77,28.46,117.33,4.41,18.5,0,0,76,1.65,0,0
3070,77.28,56.82,6,25.75,25.87,0,7.2,22.58,78.59,7.25,17.02,80.17,7.64,44.29,2.09,7,70,0.84,0,0
5377,27.55,82.55,86.62,47.07,102.58,0,44.44,9.41,38.97,98.28,110.33,724.12,3.4,0,3.15,144,2,5.06,0,0
15022,29.78,7.28,1.06,119.09,26.67,0,0.35,21.68,0,5.2,26.55,0,0,0,1.49,0,"2,137.01",0,0,0
712,3.13,17.54,26.28,8.25,14.39,0,2.5,26.76,25.03,13,11.5,0,12.57,0,8.21,0,0,13.03,0,0
2499,98.92,53.34,24.16,21.6,55.03,0,3.2,27.97,11.33,13.61,16.71,0,95.65,0,0,0,0,4.98,1.49,0
4857,37.71,76.06,20.23,40.18,25.54,0,57.69,20.46,2.2,33.97,50.87,185.08,0,1.08,1.49,27,343,5.33,0,0
1419,20.61,35.56,63.43,28.58,23.57,0,12.21,6.56,6.78,33.92,48.5,0,0,0,2.24,1,0,12.04,0,0
6162,100.66,50.02,16.66,75.98,168.55,0,4.15,35.89,13.4,41.16,165.27,12.71,100.64,0,2.98,0,0,1.27,0,3.4
12412,51.92,84.28,68.4,54.16,60.83,0,0,26.19,11.95,22,41.17,3.61,9.07,14.94,2.37,17,0,3.4,0,7.76
4730,9.71,7.05,16.67,9.3,7.44,0,0.35,5.33,9.1,11.55,4.99,216.76,0,1.44,3.12,92,0,0,0,0
10908,346.9,384.46,440.43,242.1,531.16,0,48.57,372.36,138.6,236.79,339.43,11.87,0,316.19,101.34,51,60,63.47,0,6.99
10421,88.79,140.73,37.07,64.2,71.43,0,0.75,20.54,117.88,16.11,125.59,751.15,808.32,34.01,1.19,78,365,3.4,0,0
11476,127.2,84.31,141.72,83.57,82.98,0,61.79,35.39,7.92,57.77,154.75,151.47,174.56,49.07,2.73,64,60,15,85.42,3.64
13694,58.12,59.03,96.82,47.68,31.77,0,0,0,0,1.29,18.24,0,0,0,0,0,0,0,0,0
7782,109.49,54.46,20.33,69.57,67.89,0,19.55,28.8,4.46,39.16,95.74,0,0,6.93,15.26,0,130,4.44,0,0
12128,26.02,17.66,55.53,22.74,10,0,0,16.14,22.98,27.66,56.76,0,27.2,0,8.1,2,0,2.53,0,0
6081,103.82,118.68,29.26,51.75,64.81,0,22.26,51.19,28.89,62.21,99.88,227.59,195.9,0,7.22,0,15.5,0,0,4.92
3605,53.81,83.74,53.73,46.52,8.66,0,37.14,107.05,12.72,22.87,94.84,323.07,17.12,1.8,0,0,0,0,0,0
1149,78.7,264.6,127.69,154.27,160,0,11.84,36.47,17.92,85.05,24.96,0,27.64,148.26,0.76,0,60,0,0,0
8668,102.19,149.53,43.87,60.89,24.33,0,10.18,24.76,40.4,36.37,60.97,347.35,525.36,9.85,14.04,1.5,0,3.38,0,0
6070,76.18,77.12,63.49,70.26,90.77,0,53.35,42.24,3.99,2.2,43.5,4.96,54.5,0,9.18,27.5,35,5.44,0,0
7307,93.85,186.22,302.07,82.62,104.29,0,24.05,10.02,29.12,93.04,15.61,0,0,3.47,0.99,0,0,6.09,0,0.84
14612,27.52,9.18,123.95,12.87,23.43,0,9.03,0,69.06,10.92,0,798.73,0,12.1,4.76,3,635,0,0,4.24
2232,167,34.7,80.78,63.6,106.84,0,14.28,31.87,104.76,38.88,90.45,0,56.34,9.2,8.59,20,210,65.12,0,27.14
12569,91.38,111,97.65,93.12,105.72,0,0,77.19,22.62,35.58,100.69,567.06,4.26,1.1,10.28,35,20,2.62,0,2.12
12276,215.73,353.51,50.2,96.59,44.47,0,0,50.79,53.68,18.21,112.13,33.29,361.54,0,8.28,30,140,5.95,0,0.84
5080,134.04,104.41,31.15,67.86,85.7,0,10.88,46.1,9.69,45.89,191.4,31.66,0,47.69,0,0,0,0,27.3,0
