customer_number,baskets,total_quantity,average_quantity,total_spend,average_spend
4749,220,260,1.181818182,631.12,2.87
4757,248,333,1.342741935,452.42,1.82
144,226,303,1.340707965,261.16,1.16
572,285,346,1.214035088,638.79,2.24
669,285,324,1.136842105,561.42,1.97
792,830,857,1.03253012,"1,267.05",1.53
928,276,294,1.065217391,"1,074.51",3.89
1031,60,69,1.15,84.46,1.41
1079,1040,1273,1.224038462,"1,730.24",1.66
1325,191,214,1.120418848,441.8,2.31
1395,606,706,1.165016502,800.43,1.32
1869,283,436,1.540636042,617.32,2.18
2301,168,201,1.196428571,376.32,2.24
2377,641,695,1.08424337,"1,589.96",2.48
2925,554,964,1.740072202,859.52,1.55
3070,431,609,1.412993039,579,1.34
3116,944,990,1.048728814,"1,354.40",1.43
3149,526,643,1.22243346,595.72,1.13
3566,299,349,1.16722408,677.35,2.27
4005,374,458,1.22459893,617,1.65
4446,361,443,1.227146814,561.56,1.56
11801,327,364,1.113149847,447.76,1.37
9311,336,395,1.175595238,705.97,2.1
11798,324,740,2.283950617,473.99,1.46
11796,279,365,1.308243728,371.62,1.33
12014,328,404,1.231707317,467.31,1.42
12016,558,696,1.247311828,949.31,1.7
12008,614,784,1.276872964,825.27,1.34
12019,229,331,1.445414847,514.31,2.25
14780,113,138,1.221238938,164.6,1.46
14770,618,706,1.142394822,755.1,1.22
14778,355,400,1.126760563,299.82,0.84
12020,353,476,1.348441926,553.04,1.57
12027,435,494,1.135632184,542.51,1.25
3594,458,665,1.451965066,"1,813.31",3.96
3606,776,847,1.091494845,930.78,1.2
3597,787,898,1.141041931,985.84,1.25
3605,446,578,1.295964126,932.01,2.09
14,381,531,1.393700787,675.72,1.77
14782,239,272,1.138075314,742.54,3.11
6967,302,326,1.079470199,472.67,1.57
9374,221,288,1.303167421,372.64,1.69
6970,233,278,1.193133047,272.04,1.17
3613,558,665,1.191756272,"1,414.33",2.53
12031,299,353,1.180602007,451.03,1.51
14297,503,685,1.361829026,893.54,1.78
12043,851,908,1.066980024,"1,718.05",2.02
6454,583,665,1.140651801,795.35,1.36
12038,619,904,1.460420032,"1,045.50",1.69
15481,447,693,1.55033557,461.53,1.03
11644,425,478,1.124705882,591.68,1.39
14784,233,283,1.214592275,316.76,1.36
6453,650,815,1.253846154,"1,044.71",1.61
11246,975,1069,1.096410256,"1,397.12",1.43
45,561,655,1.167557932,585.73,1.04
12047,477,533,1.117400419,539.85,1.13
6989,382,407,1.065445026,528.2,1.38
3617,181,208,1.149171271,447.11,2.47
9808,681,960,1.40969163,881.87,1.29
10809,401,460,1.14713217,469.8,1.17
63,268,281,1.048507463,293.34,1.09
52,206,294,1.427184466,222.18,1.08
8636,470,639,1.359574468,"1,020.29",2.17
61,420,499,1.188095238,547.87,1.3
6985,458,506,1.104803493,766.13,1.67
14302,126,149,1.182539683,236.17,1.87
8647,251,337,1.342629482,530.07,2.11
5134,802,848,1.057356608,"1,196.57",1.49
12058,547,594,1.085923218,525.13,0.96
3622,450,540,1.2,"1,756.78",3.9
67,807,1055,1.307311029,"1,584.18",1.96
12055,592,793,1.339527027,"1,148.80",1.94
81,408,525,1.286764706,729.04,1.79
77,228,244,1.070175439,355.16,1.56
71,809,970,1.199011125,"1,233.78",1.53
68,204,219,1.073529412,225.41,1.1
9491,599,717,1.196994992,994.18,1.66
9501,745,808,1.084563758,"1,244.32",1.67
85,293,324,1.105802048,600.74,2.05
83,393,434,1.1043257,518.58,1.32
5130,104,127,1.221153846,277.99,2.67
9492,227,248,1.092511013,444.9,1.96
3644,769,903,1.174252276,"1,416.86",1.84
3633,89,117,1.314606742,141.15,1.59
3641,623,714,1.146067416,644.57,1.03
5137,548,644,1.175182482,"1,106.03",2.02
6981,351,426,1.213675214,737.46,2.1
14790,432,490,1.134259259,482.31,1.12
3636,995,1196,1.20201005,"1,626.97",1.64
14309,534,680,1.27340824,600.58,1.12
110,227,246,1.083700441,177.29,0.78
9487,282,310,1.09929078,439.04,1.56
12075,92,126,1.369565217,140.42,1.53
5146,189,226,1.195767196,576.71,3.05
111,315,387,1.228571429,530.64,1.68
9807,314,378,1.203821656,646.26,2.06
6992,406,503,1.238916256,748.11,1.84
12077,400,613,1.5325,862.85,2.16
108,258,329,1.275193798,554.54,2.15
12076,248,261,1.052419355,394.91,1.59
8660,772,1009,1.306994819,"1,367.53",1.77
9499,441,456,1.034013605,818.21,1.86
117,279,324,1.161290323,440.71,1.58
14797,742,812,1.094339623,"1,208.66",1.63
12084,224,263,1.174107143,357.22,1.59
8662,892,1049,1.176008969,"1,471.81",1.65
119,653,813,1.245022971,855.23,1.31
15492,341,403,1.181818182,960.47,2.82
3647,764,855,1.119109948,"1,214.24",1.59
7005,1236,1516,1.226537217,"2,417.91",1.96
8657,594,668,1.124579125,606.82,1.02
14801,483,495,1.02484472,777.13,1.61
12091,152,186,1.223684211,263.8,1.74
123,666,724,1.087087087,599.29,0.9
12097,743,929,1.250336474,"1,338.81",1.8
136,533,626,1.174484053,729.55,1.37
133,355,441,1.242253521,700.34,1.97
14805,230,314,1.365217391,443.35,1.93
124,500,544,1.088,566.97,1.13
140,289,332,1.148788927,303.53,1.05
6460,202,315,1.559405941,354.33,1.75
7017,378,475,1.256613757,502.26,1.33
7016,499,595,1.19238477,980.29,1.96
12095,199,222,1.115577889,283.11,1.42
3663,1092,1258,1.152014652,"1,483.30",1.36
7010,437,495,1.132723112,588.3,1.35
7019,269,310,1.152416357,318.25,1.18
7013,380,500,1.315789474,703.37,1.85
9502,763,919,1.204456094,"1,417.83",1.86
12103,353,397,1.124645892,744.38,2.11
3660,921,1222,1.326818675,"1,540.32",1.67
149,115,150,1.304347826,164.66,1.43
8678,1085,1321,1.217511521,"1,530.32",1.41
14806,466,497,1.066523605,547.32,1.17
15902,514,700,1.361867704,680.62,1.32
9802,606,714,1.178217822,"1,747.23",2.88
156,762,807,1.059055118,967.75,1.27
153,453,527,1.163355408,745.69,1.65
157,1080,1208,1.118518519,"1,857.65",1.72
3671,94,112,1.191489362,144.81,1.54
12110,333,379,1.138138138,501.81,1.51
6461,1378,1571,1.140058055,"3,491.78",2.53
305,76,108,1.421052632,233.44,3.07
11430,1670,1878,1.124550898,"2,511.24",1.5
7032,262,305,1.164122137,450.45,1.72
166,212,236,1.113207547,267.96,1.26
12114,247,282,1.141700405,330.44,1.34
5169,405,530,1.308641975,"1,281.74",3.16
5175,558,569,1.019713262,795.89,1.43
11861,73,75,1.02739726,118.44,1.62
182,486,551,1.133744856,389.09,0.8
8677,440,533,1.211363636,988.89,2.25
170,512,608,1.1875,829.75,1.62
3676,548,651,1.187956204,619.89,1.13
9580,48,55,1.145833333,93.49,1.95
12120,372,462,1.241935484,425.09,1.14
176,128,141,1.1015625,202.67,1.58
8668,510,637,1.249019608,"1,466.61",2.88
186,913,965,1.056955093,569.31,0.62
12128,216,261,1.208333333,317.95,1.47
5170,311,361,1.160771704,353.34,1.14
3679,221,232,1.049773756,331.96,1.5
187,369,455,1.233062331,517.63,1.4
9602,379,509,1.343007916,485.44,1.28
7041,246,263,1.069105691,686.41,2.79
15499,104,120,1.153846154,156.77,1.51
11803,56,68,1.214285714,140.55,2.51
7036,135,148,1.096296296,194.6,1.44
8673,577,636,1.102253033,616.45,1.07
12130,1012,1309,1.293478261,"1,603.14",1.58
9814,568,633,1.11443662,708.56,1.25
7044,646,671,1.03869969,621.44,0.96
7046,431,467,1.083526682,644.09,1.49
14819,103,125,1.213592233,137.27,1.33
12135,329,458,1.392097264,512.57,1.56
14817,315,382,1.212698413,470.43,1.49
191,321,383,1.193146417,475.18,1.48
15911,249,314,1.261044177,415.41,1.67
8694,469,591,1.260127932,852.82,1.82
9825,781,926,1.185659411,"1,394.82",1.79
198,354,416,1.175141243,446.97,1.26
3686,1149,1262,1.098346388,"2,224.27",1.94
12139,611,752,1.230769231,725.94,1.19
5185,827,1144,1.38331318,915.32,1.11
201,562,634,1.128113879,666.04,1.19
5189,1504,1843,1.225398936,"2,597.74",1.73
15502,211,244,1.156398104,642.62,3.05
212,420,477,1.135714286,419.77,1
12137,182,216,1.186813187,288.76,1.59
9622,30,35,1.166666667,66.41,2.21
10896,530,594,1.120754717,871.27,1.64
6462,644,724,1.124223602,832.19,1.29
9511,738,828,1.12195122,"1,076.70",1.46
12147,377,429,1.137931034,467.75,1.24
5179,678,785,1.157817109,898.87,1.33
206,909,1043,1.147414741,"1,075.19",1.18
15503,484,515,1.064049587,686.23,1.42
202,322,358,1.111801242,380.68,1.18
221,437,472,1.080091533,572.35,1.31
8689,1279,1458,1.139953088,"2,019.99",1.58
12149,212,236,1.113207547,403.68,1.9
218,599,675,1.12687813,695.33,1.16
10880,551,629,1.141560799,"1,050.00",1.91
215,220,333,1.513636364,401.93,1.83
3685,494,584,1.182186235,843.36,1.71
